ranking,objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age,distancia_tierra,indice_habitabilidad,orig_idx
16,3.5738,Kepler-1538 b,Kepler-1538,1.7328636152629304,0.6256067825067205,0.10121212121212121,0.10382431729457621,0.01658703198758342,0.375841842276776,0.04651660491734501,0.0015372074254714598,0.016152656290638303,0.028825405442084548,0.024038461538461557,0.01754586254524495,0.02631578947368421,0.018518518518518906,0.029291900152827247,1.8875361994638338,0.34631600469136387,5376
17,3.6485,Kepler-1634 b,Kepler-1634,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.12493145872259445,0.02098767312714637,0.40951553334781654,0.013801630030421048,0.0007087629787815828,0.08322724597210245,0.08993350071249236,0.06410256410256406,0.06433482933256474,0.02631578947368421,0.06481481481481412,0.016556291390728464,1.8877588266233065,0.346289306011511,2355
18,3.6379,Kepler-1632 b,Kepler-1632,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.08385810243023464,0.0127731429999622,0.33456441451227453,0.05827354901733331,0.007867890786386783,0.09828480692100255,0.1378537015674832,0.09615384615384623,0.11112379611988454,0.0,0.10185185185185193,0.19230769230769226,1.8898308425524453,0.3460410157145216,4412
19,3.7143,Kepler-311 d,Kepler-311,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.05989864459302473,0.008711012717288708,0.26178579187486417,0.03680434674778946,0.002657861170430936,0.03422172942931844,0.06557644025242587,0.02083333333333335,0.0912384852352736,0.13157894736842105,0.12962962962962987,0.33749363219561884,1.893955231297374,0.34554784717650766,1118
20,3.12605,KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.12493145872259445,0.020942538346227776,0.40951553334781654,0.05689085120795839,0.001434000742842795,0.06132533913733864,0.024292596865033586,0.19230769230769226,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.8940458370131958,0.34553702889241433,3860
21,3.18726,KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.018825288300664923,0.002978895540627226,0.009776232891592422,0.04479135225485316,0.0013329155278429751,0.06132533913733864,0.024292596865033586,0.47275641025641024,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.8945724670489308,0.3454741628975412,4314
22,3.18728,KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.11352219308582785,0.01850526017662368,0.3932218118618292,0.054443529306708094,0.0014171494148755516,0.06132533913733864,0.024292596865033586,0.2403846153846154,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.8952686678525261,0.3453910896434072,5017
23,3.725,Kepler-401 d,Kepler-401,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.07244883679346802,0.01076464524908475,0.3041494677384314,0.06389643532602336,0.011633971263552955,0.1111521771864263,0.19207097781095203,0.13621794871794865,0.16961000460403436,0.02631578947368421,0.14814814814814797,0.15410086602139575,1.8963930769279516,0.34525700533045267,623
24,3.5743,Kepler-1700 b,Kepler-1700,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.10846215011858822,0.017512294996414605,0.38453182706930256,0.03782668971300583,0.0018651657336357448,0.06926478036494052,0.05226640428852548,0.09615384615384623,0.05480157734964827,0.09210526315789475,0.028250000000000386,0.23560876209882828,1.8966289676496635,0.34522888888023656,4758
25,3.7293,Kepler-1600 b,Kepler-1600,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.12150867903156447,0.02022038185153027,0.40517054095155325,0.023513888199976598,0.0009325828668178723,0.1544084431850848,0.11516930175748116,0.11217948717948717,0.10527517527146962,0.09210526315789475,0.10185185185185111,0.010188487009679071,1.9002328144461813,0.3447999053796502,5955
26,3.18263,KMT-2021-BLG-0171L b,KMT-2021-BLG-0171L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.13405887123200774,0.023018738268483115,0.4203780143384749,0.06346571730581155,0.0014467077951798113,0.15824127688116846,0.024292596865033586,0.17628205128205124,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9013267741419475,0.344669896859772,4619
27,3.1872,KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.039932429728683154,0.0057321171766614816,0.1683684553552031,0.03017764543528889,0.001138302051129079,0.06132533913733864,0.024292596865033586,0.47275641025641024,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9020581825635858,0.34458302938524543,4221
28,3.6526,Kepler-1635 b,Kepler-1635,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.15060230640531935,0.026855194646563635,0.4388442320225939,0.028114431543450284,0.0009325828668178723,0.11799652307228997,0.09493451855872972,0.08814102564102562,0.08772931272622467,0.07894736842105263,0.08333333333333302,0.038206826286296576,1.9029125785541747,0.344481610430742,2219
29,3.12137,OGLE-2017-BLG-0173L b,OGLE-2017-BLG-0173L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.03536872347397652,0.005120540895214528,0.13903975668042573,0.06278751406259221,0.0014682219579143434,0.06132533913733864,0.024292596865033586,0.48397435897435886,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9032141644471952,0.3444458256803839,563
30,3.72,Kepler-540 b,Kepler-540,1.7328636152629304,0.6596987475047822,0.10121212121212121,0.09754922119435458,0.015345825512322076,0.3649793612861177,0.051117148260818694,0.0054789243425550005,0.045994004353003985,0.0700888919047296,0.016025641025641038,0.04678896678731986,0.13157894736842105,0.0555555555555559,0.038206826286296576,1.9039958064785294,0.34435311434303667,686
31,3.13081,KMT-2018-BLG-1988L b,KMT-2018-BLG-1988L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.06959652038427637,0.01029073004943951,0.2954594829459048,0.05432080457215008,0.0014162602414296045,0.06132533913733864,0.024292596865033586,0.4246794871794871,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9076138578872839,0.3439246230332026,5119
32,3.3924,Kepler-1552 b,Kepler-1552,1.7328636152629304,0.6390641371112187,0.10121212121212121,0.08385810243023464,0.0127731429999622,0.33456441451227453,0.00664522927390643,0.0013273762804374384,0.15769372921029937,0.06833480355567619,0.1201923076923077,0.12866965866512947,0.09210526315789475,0.12962962962962907,0.16428935303107484,1.91140132319315,0.34347720873576637,1170
33,3.18732,OGLE-2018-BLG-0977L b,OGLE-2018-BLG-0977L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.08043532273920466,0.012186390848020473,0.32587442971974795,0.03584751771436721,0.001224789018051736,0.06132533913733864,0.024292596865033586,0.4246794871794871,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9125613799848649,0.34334040369827207,3080
34,3.11406,OGLE-2005-BLG-169L b,OGLE-2005-BLG-169L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.16201157204208597,0.029563281501679296,0.4497067130132521,0.058912527727199286,0.0014467077951798113,0.06132533913733864,0.024292596865033586,0.2483974358974359,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9125823531021817,0.3433379313497877,1315
35,3.2046,KMT-2023-BLG-1896L b,KMT-2023-BLG-1896L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.18197778690642757,0.034640944355021165,0.46600043449923956,0.051322845973298295,0.001393164497342198,0.06132533913733864,0.024292596865033586,0.22435897435897434,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9151722030253835,0.3430329086433364,2347
36,3.11817,Kepler-453 b,Kepler-453,1.7328636152629304,0.5815499668372333,0.11636363636363636,0.2968690918686674,0.03385108568894576,0.3204431892244188,0.009518515887917479,5.6510323956709595e-05,0.06871723269407143,0.07481169844608808,0.04487179487179491,0.09767196816853015,0.11842105263157894,0.12129629629629543,0.2687213448802852,1.915575214784386,0.3429854921694937,5834
37,3.13175,KMT-2020-BLG-0414L b,KMT-2020-BLG-0414L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.0001711389845514994,9.026956183718876e-05,0.02063871388225065,0.011288394168607052,0.0007240811449281216,0.06132533913733864,0.024292596865033586,0.5528846153846153,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9156394941497186,0.34297793057287,2776
38,3.12024,OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.006275096100221645,0.0009703977897497783,0.02606995437757986,0.006262559744293728,0.000574769225181835,0.06132533913733864,0.024292596865033586,0.5528846153846153,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9156931477928085,0.3429716192038261,3043
39,3.11695,OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.009127412509413289,0.001489447770313613,0.03584618726917228,0.029159765200294157,0.0011203144213115422,0.06132533913733864,0.024292596865033586,0.5528846153846153,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.916074828843689,0.34292672811710045,3310
40,3.19823,KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.15231369625083432,0.027150747776124712,0.4410167282207255,0.05266921166114271,0.0014038684376453591,0.06132533913733864,0.024292596865033586,0.2964743589743589,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.9163884704064273,0.3428898482308978,367
